Thematic:Continuation	EXPANSION:Conjunction
Causal:Explanation	CONTINGENCY:Cause:Reason
Structural:Conditional	CONTINGENCY:Condition
Causal:Goal	CONTINGENCY:Purpose:Arg2-as-goal
Structural:Opposition:Antithetic	COMPARISON:Contrast
Structural:Opposition:Contrast	COMPARISON:Contrast
Structural:Opposition:Concession	COMPARISON:Concession:Arg2-as-denier
Causal:Cause-effect:Result	CONTINGENCY:Cause:Result
Temporal:Frame	TEMPORAL
Temporal:Temporal Ordering:Quick ordering	TEMPORAL:Asynchronous
Temporal:Temporal Ordering:Slow ordering	TEMPORAL:Asynchronous
Temporal:Temporal Ordering:Synchronization	TEMPORAL:Synchronous
Temporal:Background-Flashback	TEMPORAL:Asynchronous:Precedence
Thematic:Elaboration:Definition	EXPANSION:Level-of-detail
Thematic:Elaboration:Description	EXPANSION:Level-of-detail
Thematic:Elaboration:E-elaboration	EXPANSION:Level-of-detail
Thematic:Elaboration:Specification	EXPANSION:Level-of-detail
Causal:Cause-effect:Logical consequence	CONTINGENCY:Cause:Result
Structural:Alternation	EXPANSION:Disjunction
Structural:Parallel	EXPANSION:Equivalence
Thematic:Summary	EXPANSION:Level-of-detail
Structural:Correction	COMPARISON:Contrast
Thematic:Attribution	EXPANSION:Level-of-detail
Thematic:Commentary	EXPANSION:Level-of-detail
