precedence-succession	TEMPORAL:Asynchronous
precedence-succession	TEMPORAL:Asynchronous
synchrony	TEMPORAL:Synchronous
concession	COMPARISON:Concession
concession	COMPARISON:Concession
condition	CONTINGENCY:Condition
pragmatic condition	CONTINGENCY:Condition
conjunction	EXPANSION:Conjunction
purpose	CONTINGENCY:Purpose
purpose	CONTINGENCY:Purpose
equivalence	EXPANSION:Equivalence
disjunctive alternative	EXPANSION:Disjunction
instantiation	EXPANSION:Instantiation
reason-result	CONTINGENCY:Cause
reason-result	CONTINGENCY:Cause
specification	EXPANSION:Level-of-detail
explication	EXPANSION:Level-of-detail
restrictive opposition	EXPANSION:Exception:Arg1-as-excpt
restrictive opposition	EXPANSION:Exception:Arg2-as-excpt
confrontation	COMPARISON:Contrast
pragmatic contrast	COMPARISON:Contrast
opposition	COMPARISON:Contrast
correction	EXPANSION:Substitution:Arg2-as-subst
correction	EXPANSION:Substitution:Arg1-as-subst
gradation	EXPANSION:Conjunction
conjunctive alternative	EXPANSION:Conjunction
generalization	EXPANSION:Level-of-detail
pragmatic reason-result	CONTINGENCY:Cause:Result
pragmatic reason-result	CONTINGENCY:Cause:Reason
