concession-arg1-as-denier	COMPARISON:Concession:Arg1-as-denier
concession-arg2-as-denier	COMPARISON:Concession:Arg2-as-denier
contrast	COMPARISON:Contrast
similarity	COMPARISON:Similarity
cause-reason	CONTINGENCY:Cause:Reason
cause-result	CONTINGENCY:Cause:Result
condition-arg1-as-consequent	CONTINGENCY:Condition:Arg1-as-cond
condition-arg2-as-consequent	CONTINGENCY:Condition:Arg2-as-cond
negative-condition-arg1-as-consequent	CONTINGENCY:Negative-Condition:Arg1-as-negcond
negative-condition-arg2-as-consequent	CONTINGENCY:Negative-Condition:Arg2-as-negcond
purpose-arg1-as-goal	CONTINGENCY:Purpose:Arg1-as-goal
purpose-arg2-as-goal	CONTINGENCY:Purpose:Arg2-as-goal
conjunction	EXPANSION:Conjunction
disjunction	EXPANSION:Disjunction
equivalence	EXPANSION:Equivalence
exception-arg1-as-except	EXPANSION:Exception:Arg1-as-excpt
exception-arg2-as-except	EXPANSION:Exception:Arg2-as-excpt
instantiation	EXPANSION:Instantiation
specification	EXPANSION:Level-of-detail
specification-arg1-as-detail	EXPANSION:Level-of-detail:Arg1-as-detail
specification-arg2-as-detail	EXPANSION:Level-of-detail:Arg2-as-detail
manner-arg1-as-manner	EXPANSION:Manner:Arg1-as-manner
manner-arg2-as-manner	EXPANSION:Manner:Arg2-as-manner
substitution-arg1-as-subst	EXPANSION:Substitution:Arg1-as-subst
substitution-arg2-as-subst	EXPANSION:Substitution:Arg2-as-subst
asynchronous-precedence	TEMPORAL:Asynchronous:Precedence
asynchronous-succession	TEMPORAL:Asynchronous:Succession
synchronous	TEMPORAL:Synchronous
