asynchronous-precedence	TEMPORAL:Asynchronous:Precedence
asynchronous-succession	TEMPORAL:Asynchronous:Succession
cause	CONTINGENCY:Cause
cause-reason	CONTINGENCY:Cause:Reason
cause-result	CONTINGENCY:Cause:Result
concession-arg1-as-denier	COMPARISON:Concession:Arg1-as-denier
concession-arg2-as-denier	COMPARISON:Concession:Arg2-as-denier
condition-arg1-as-condition	CONTINGENCY:Condition:Arg1-as-cond
condition-arg1-as-consequent	CONTINGENCY:Condition:Arg1-as-cond
condition-arg2-as-condition	CONTINGENCY:Condition:Arg2-as-cond
conjunction	EXPANSION:Conjunction
contrast	COMPARISON:Contrast
disjunction	EXPANSION:Disjunction
equivalence	EXPANSION:Equivalence
exception-arg1-as-except	EXPANSION:Exception:Arg1-as-excpt
exception-arg2-as-except	EXPANSION:Exception:Arg2-as-excpt
exception-arg2-as-except?	EXPANSION:Exception:Arg2-as-excpt
exception-arg2-as-exception	EXPANSION:Exception:Arg2-as-excpt
instantiation	EXPANSION:Instantiation
list	TEMPORAL:Asynchronous:Succession
manner-arg1-as-manner	EXPANSION:Manner:Arg1-as-manner
negative-condition-arg2-as-negative condition	CONTINGENCY:Negative-Condition:Arg2-as-negcond
purpose-arg1-as-goal	CONTINGENCY:Purpose:Arg1-as-goal
purpose-arg2-as-goal	CONTINGENCY:Purpose:Arg2-as-goal
similarity	COMPARISON:Similarity
specification-arg1-as-detail	EXPANSION:Level-of-detail:Arg1-as-detail
specification-arg2-as-detail	EXPANSION:Level-of-detail:Arg2-as-detail
substitution-arg1-as-subst	EXPANSION:Substitution:Arg1-as-subst
substitution-arg2-as-subst	EXPANSION:Substitution:Arg2-as-subst
synchronous	TEMPORAL:Synchronous
