arg1-as-denier	COMPARISON:Concession:Arg1-as-denier
arg1-as-detail	EXPANSION:Level-of-detail:Arg1-as-detail
arg1-as-negcond	CONTINGENCY:Negative-condition:Arg1-as-negcond
arg1-as-subst	EXPANSION:Substitution:Arg1-as-subst
arg2 as detail	EXPANSION:Level-of-detail:Arg2-as-detail
arg2-as-condition	CONTINGENCY:Condition:Arg2-as-cond
arg2-as-denier	COMPARISON:Concession:Arg2-as-denier
Arg2-as-denier+SpeechAct	COMPARISON:Concession:Arg2-as-denier
arg2-as-detail	EXPANSION:Level-of-detail:Arg2-as-detail
arg2-as-except	EXPANSION:Exception:Arg2-as-excpt
arg2-as-goal	CONTINGENCY:Purpose:Arg2-as-goal
arg2-as-negcond	CONTINGENCY:Negative-condition:Arg2-as-negcond
arg2-as-subst	EXPANSION:Substitution:Arg2-as-subst
asynchronous	TEMPORAL:Asynchronous
cause	CONTINGENCY:Cause
cause+belief	CONTINGENCY:Cause
comparison	COMPARISON
concession	COMPARISON:Concession
Concession+SpeechAct	COMPARISON:Concession
condition	CONTINGENCY:Condition
conjunction	EXPANSION:Conjunction
contingency	CONTINGENCY
contrast	COMPARISON:Contrast
disjunction	EXPANSION:Disjunction
equivalence	EXPANSION:Equivalence
exception	EXPANSION:Exception
expansion	EXPANSION
instantiation	EXPANSION:Instantiation
manner	EXPANSION:Manner
negative-condition	CONTINGENCY:Negative-condition
precedence	TEMPORAL:Asynchronous:Precedence
purpose	CONTINGENCY:Purpose
reason	CONTINGENCY:Cause:Reason
reason+belief	CONTINGENCY:Cause:Reason
result	CONTINGENCY:Cause:Result
result+belief	CONTINGENCY:Cause:Result
similarity	COMPARISON:Similarity
specification	EXPANSION:Level-of-detail
substitution	EXPANSION:Substitution
succession	TEMPORAL:Asynchronous:Succession
summarization	EXPANSION:Level-of-detail
synchronous	TEMPORAL:Synchronous
temporal	TEMPORAL
