alternation	COMPARISON:Similarity
background	EXPANSION:Level-of-detail
background-inverse	TEMPORAL:Asynchronous
concession	COMPARISON:Concession
condition	CONTINGENCY:Condition
consequence	CONTINGENCY:Cause
continuation	EXPANSION:Conjunction
contrast	COMPARISON:Contrast
detachment	EXPANSION:Conjunction
digression	EXPANSION:Conjunction
elaboration	EXPANSION:Conjunction
evidence	EXPANSION:Conjunction
explanation	EXPANSION:Level-of-detail
explanation*	EXPANSION:Level-of-detail
flashback	TEMPORAL:Asynchronous:Precedence
goal	EXPANSION:Level-of-detail:Arg2-as-detail
narration	TEMPORAL:Asynchronous:Precedence
parallel	COMPARISON
rephrasing	EXPANSION:Equivalence
result	CONTINGENCY:Cause:Result
result*	CONTINGENCY:Cause:Result
summary	EXPANSION:Level-of-detail
temploc	TEMPORAL
violation	EXPANSION:Exception
