Comparison	COMPARISON
Comparison.Concession	COMPARISON:Concession
Comparison.Concession.Contra-expectation	COMPARISON:Concession
Comparison.Concession.Expectation	COMPARISON:Concession
Comparison.Contrast	COMPARISON:Contrast
Comparison.Contrast.Juxtaposition	COMPARISON:Contrast
Comparison.Contrast.Opposition	COMPARISON:Contrast
Comparison.Pragmatic concession	COMPARISON:Concession
Comparison.Pragmatic contrast	COMPARISON:Contrast
Contingency	CONTINGENCY
Contingency.Cause.Reason	CONTINGENCY:Cause:Reason
Contingency.Cause.Result	CONTINGENCY:Cause:Result
Contingency.Condition	CONTINGENCY:Condition
Contingency.Condition.Factual past	CONTINGENCY:Condition
Contingency.Condition.Factual present	CONTINGENCY:Condition
Contingency.Condition.General	CONTINGENCY:Condition
Contingency.Condition.Hypothetical	CONTINGENCY:Condition
Contingency.Condition.Unreal past	CONTINGENCY:Condition
Contingency.Condition.Unreal present	CONTINGENCY:Condition
Contingency.Pragmatic cause.Justification	CONTINGENCY:Cause
Contingency.Pragmatic condition.Implicit assertion	CONTINGENCY:Condition
Contingency.Pragmatic condition.Relevance	CONTINGENCY:Condition
Expansion	EXPANSION
Expansion.Alternative	EXPANSION:Disjunction
Expansion.Alternative.Chosen alternative	EXPANSION:Substitution
Expansion.Alternative.Conjunctive	EXPANSION:Conjunction
Expansion.Alternative.Disjunctive	EXPANSION:Disjunction
Expansion.Conjunction	EXPANSION:Conjunction
Expansion.Exception	EXPANSION:Exception
Expansion.Instantiation	EXPANSION:Instantiation
Expansion.List	EXPANSION:Conjunction
Expansion.Restatement	EXPANSION:Level-of-detail
Expansion.Restatement.Equivalence	EXPANSION:Equivalence
Expansion.Restatement.Generalization	EXPANSION:Level-of-detail:Arg1-as-detail
Expansion.Restatement.Specification	EXPANSION:Level-of-detail
Temporal	TEMPORAL
Temporal.Asynchronous	TEMPORAL:Asynchronous
Temporal.Asynchronous.Precedence	TEMPORAL:Asynchronous:Precedence
Temporal.Asynchronous.Succession	TEMPORAL:Asynchronous:Succession
Temporal.Synchrony	TEMPORAL:Synchronous
